id,"lat","lon","name","city","address","prvnumgrp_tdi","fileyear"
"100005",27.8825147142,-81.8236428254,"POLK GENERAL HOSPITAL","BARTOW","2010 E GEORGIA ST","100005",1995
"100010",26.7532083577,-80.0628215375,"ST MARYS HOSPITAL INC","WEST PALM BEACH","901 45TH ST","100010",2001
"100027",29.9446744852,-85.4106641905,"GULF PINES HOSPITAL","PORT SAINT JOE","102 20TH ST","100027",2005
"100042",26.0096426321,-80.1441364652,"THC  HOLLYWOOD","HOLLYWOOD","1859 VAN BUREN ST","100042",1994
"100056",26.1633797015,-80.1010175643,"CLEVELAND CLINIC HOSPITAL","FORT LAUDERDALE","2835 N OCEAN BLVD","100056",2001
"100060",25.8225151254,-80.1312363411,"MT SINAI MED CTR & MIAMI HEART INSTITU","MIAMI BEACH","4701 MERIDAN AVE","211",2000
"100074",28.2424037689,-81.3030071527,"ST CLOUD HOSPITAL","SAINT CLOUD","2906 17TH ST","100074",1994
"100085",26.1394855276,-80.2389872656,"FLORIDA MEDICAL CENTER SOUTH","PLANTATION","6701 W SUNRISE BLVD","100085",1998
"100089",28.3175593014,-81.4053094519,"KISSIMMEE MEMORIAL HOSPITAL","KISSIMMEE","200 HILDA ST","100089",1993
"100100",25.7765561798,-80.2105880747,"VICTORIA HOSPITAL","MIAMI","955 NW 3RD ST","100100",1993
"100108",30.52209249,-82.9515616665,"TRINITY COMMUNITY HOSPITAL","JASPER","506 NW 4TH ST","100108",2008
"100129",28.5671948049,-81.4305688891,"PRINCETON HOSPITAL","ORLANDO","1800 MERCY DR","100129",1999
"100144",26.8221164912,-80.6612608887,"EVERGLADES MEMORIAL HOSPITAL","PAHOKEE","200 S BARFIELD HWY","100144",1998
"100145",27.844226384,-82.7286765319,"PINELLAS COMMUNITY HOSPITAL","PINELLAS PARK","7950 66 ST N","100145",1996
"100159",30.5880121307,-84.5721642639,"GADSDEN COMMUNITY HOSPITAL","QUINCY","US HWY 90 E","227",2001
"100165",25.7480084232,-80.3172188862,"WESTCHESTER GENERAL HOSPITAL","MIAMI","2500 SW 75 AVE","100165",1998
"100172",25.7760979001,-80.1408378709,"SOUTH BEACH COMMUNITY HOSPITAL","MIAMI BEACH","630 ALTON RD","100172",2006
"100174",27.9570846281,-82.7735721729,"CLEARWATER COMMUNITY HOSPITAL","CLEARWATER","1521 E DRUID RD E","100174",1999
"100186",27.7407964046,-82.640759186,"PHYSICIANS COMMUNITY HOSPITAL","SAINT PETERSBURG","3030 6TH ST S","100186",1995
"100199",26.2265157557,-80.1347047712,"COLUMBIA POMPANO BEACH MEDICAL CENTER","POMPANO BEACH","600 SW 3RD ST","100199",1997
"100203",27.8608516528,-82.7869425608,"SEMINOLE HOSP & WOMEN'S CENTER","SEMINOLE","9675 SEMINOLE BLVD","100203",1996
"100207",26.6284478212,-80.0857553043,"PALM BEACH REGIONAL HOSPITAL","LAKE WORTH","2829 10 AVE N","100207",1996
