id,iv,name,lat,lon,address,fileyear,noclose,ivplus,ivneg
"010001",-.0118131,"SOUTHEAST ALABAMA MEDICAL CENTER",31.215393,-85.361309,"1108 ROSS CLARK CIRCLE",2013,0,0,-.0118131
"010006",-.0010979,"ELIZA COFFEE MEMORIAL HOSPITAL",34.794999,-87.685121,"205 MARENGO ST",2012,0,0,-.0010979
"010023",-.000825,"BAPTIST MEDICAL CENTER SOUTH",32.327016,-86.275972,"2105 EAST SOUTH BLVD",2013,0,0,-.000825
"010024",-.0001504,"JACKSON HOSPITAL & CLINIC INC",32.366607,-86.285256,"1725 PINE ST",2013,0,0,-.0001504
"010031",-.0101664,"PHENIX REGIONAL HOSPITAL",32.475492,-85.022737,"1707 21ST AVE",2013,0,0,-.0101664
"010035",-.0147176,"CULLMAN REGIONAL MEDICAL CENTER",34.200683,-86.803069,"1912 ALABAMA HWY 157",2013,0,0,-.0147176
"010039",-.0021895,"HUNTSVILLE HOSPITAL",34.721194,-86.581541,"101 SIVLEY RD",2012,0,0,-.0021895
"010056",-.0023326,"ST VINCENT'S BIRMINGHAM",33.509698,-86.788639,"810 ST VINCENT'S DR",2012,0,0,-.0023326
"010064",-.005137,"PHYSICIANS MEDICAL CENTER CARRAWAY",33.536342,-86.809614,"1600 CARRAWAY BLVD",2013,0,0,-.005137
"010068",.0013355,"HEALTHSOUTH METRO WEST HOSPITAL",33.487375,-86.905916,"701 RICHARD M SCRUSHY PARKWAY",2013,0,.0013355,0
"010103",.0011023,"BAPTIST MEDICAL CENTER-PRINCETON",33.499747,-86.845173,"701 PRINCETON AVE SW",2012,0,.0011023,0
"010104",.0003586,"TRINITY MEDICAL CENTER",33.514853,-86.747373,"800 MONTCLAIR RD",2013,0,.0003586,0
"010121",-.0241768,"VAUGHAN REG MED CTR DALLAS AVE CAMPUS",32.403858,-87.054985,"1050 W DALLAS AVE",2013,0,0,-.0241768
"010143",-.0023071,"WOODLAND MEDICAL CENTER",34.150901,-86.843563,"1910 CHEROKEE AVE SW",2013,0,0,-.0023071
"010155",-.0063931,"VAUGHAN PERRY HOSPITAL",32.631571,-87.309975,"505 E LAFAYETTE ST",2013,0,0,-.0063931
"030001",-.0068154,"MARYVALE HOSPITAL",33.502138,-112.16892,"5102 W CAMPBELL AVE",2013,0,0,-.0068154
"030002",-.0009595,"BANNER GOOD SAMARITAN MEDICAL CENTER",33.465719,-112.05931,"1111 E MCDOWELL RD",2013,0,0,-.0009595
"030003",-.002635,"PHOENIX MEMORIAL HOSPITAL",33.435923,-112.08252,"1201 S 7TH ST",2012,0,0,-.002635
"030006",-.0030517,"TUCSON MEDICAL CENTER",32.250777,-110.88022,"5301 E GRANT RD",2013,0,0,-.0030517
"030011",-.0034331,"CARONDELET ST JOSEPHS HOSPITAL",32.216037,-110.8581,"350 N WILMOT RD",2012,0,0,-.0034331
"030017",.0088369,"MESA GENERAL HOSPITAL",33.424694,-111.8228,"515 N MESA DR",2013,0,.0088369,0
"030018",-.010414,"BANNER MESA MEDICAL CENTER",33.435111,-111.8431,"1010 N COUNTRY CLUB DR",2013,0,0,-.010414
"030023",.0013591,"FLAGSTAFF MEDICAL CENTER",35.208841,-111.64501,"1200 N BEAVER ST",2013,0,.0013591,0
"030080",.001005,"EL DORADO HOSPITAL - CLOSED",32.239763,-110.85779,"1400 N WILMOT RD",2013,0,.001005,0
"030085",.0000151,"NORTHWEST MEDICAL CENTER",32.319345,-111.01215,"6200 N LA CHOLLA BLVD",2012,0,.0000151,0
"030088",-.0001847,"BANNER BAYWOOD MEDICAL CENTER",33.410492,-111.6879,"6644 E BAYWOOD AVE",2013,0,0,-.0001847
"030103",-.0023682,"MAYO CLINIC HOSPITAL",33.660948,-111.95152,"5777 E MAYO BLVD",2013,0,0,-.0023682
