id,iv,name,lat,lon,address,fileyear,city,statealpha,noclose,ivplus,ivneg
"010004",-.0096582,"NORTH JACKSON HOSPITAL",34.914248,-85.771918,"47005 US HWY 72",2013,"BRIDGEPORT","AL",0,0,-.0096582
"010009",-.0024707,"HARTSELLE MEDICAL CENTER",34.446004,-86.935733,"201 PINE ST NW",2013,"HARTSELLE","AL",0,0,-.0024707
"010015",-.0153149,"SOUTHWEST ALABAMA MEDICAL CENTER",31.820041,-87.751769,"33700 HWY 43",2012,"THOMASVILLE","AL",0,0,-.0153149
"010031",-.0139689,"PHENIX REGIONAL HOSPITAL",32.475492,-85.022737,"1707 21ST AVE",2013,"PHENIX CITY","AL",0,0,-.0139689
"010064",-.0062047,"PHYSICIANS MEDICAL CENTER CARRAWAY",33.536342,-86.809614,"1600 CARRAWAY BLVD",2013,"BIRMINGHAM","AL",0,0,-.0062047
"010068",-.003817,"HEALTHSOUTH METRO WEST HOSPITAL",33.487375,-86.905916,"701 RICHARD M SCRUSHY PARKWAY",2013,"FAIRFIELD","AL",0,0,-.003817
"010080",-.0104794,"LAMAR REGIONAL HOSPITAL",33.760755,-88.121188,"507 5TH ST SW",2013,"VERNON","AL",0,0,-.0104794
"010081",-.0035128,"BAPTIST MEDICAL CENTER DOWNTOWN",32.37435,-86.298006,"301 S RIPLEY ST",2013,"MONTGOMERY","AL",0,0,-.0035128
"010121",-.0104421,"VAUGHAN REG MED CTR DALLAS AVE CAMPUS",32.403858,-87.054985,"1050 W DALLAS AVE",2013,"SELMA","AL",0,0,-.0104421
"010127",-.0026092,"HUNTSVILLE HOSPITAL EAST",34.719915,-86.575059,"911 BIG COVE RD",2013,"HUNTSVILLE","AL",0,0,-.0026092
"010143",-.0056424,"WOODLAND MEDICAL CENTER",34.150901,-86.843563,"1910 CHEROKEE AVE SW",2013,"CULLMAN","AL",0,0,-.0056424
"010152",-.0102801,"INFIRMARY WEST",30.618316,-88.170484,"5600 GIRBY RD",2013,"MOBILE","AL",0,0,-.0102801
"010155",-.0056117,"VAUGHAN PERRY HOSPITAL",32.631571,-87.309975,"505 E LAFAYETTE ST",2013,"MARION","AL",0,0,-.0056117
"030003",-.0041512,"PHOENIX MEMORIAL HOSPITAL",33.435923,-112.08252,"1201 S 7TH ST",2012,"PHOENIX","AZ",0,0,-.0041512
"030008",-.0021472,"PHOENIX REGIONAL MEDICAL CENTER",33.480245,-112.04056,"1947 E THOMAS RD",2013,"PHOENIX","AZ",0,0,-.0021472
"030017",-.0056396,"MESA GENERAL HOSPITAL",33.424694,-111.8228,"515 N MESA DR",2013,"MESA","AZ",0,0,-.0056396
"030018",-.0034247,"BANNER MESA MEDICAL CENTER",33.435111,-111.8431,"1010 N COUNTRY CLUB DR",2013,"MESA","AZ",0,0,-.0034247
"030035",-.0027592,"TUCSON GENERAL HOSPITAL",32.276515,-110.94381,"3838 N CAMPBELL AVE",2013,"TUCSON","AZ",0,0,-.0027592
"030046",-.0130669,"WHITE MOUNTAIN REGIONAL MEDICAL CENTER",34.132027,-109.28662,"118 S MOUNTAIN AVE",2013,"SPRINGERVILLE","AZ",0,0,-.0130669
"030049",-.0078381,"CENTRAL ARIZONA MEDICAL CENTER",33.025915,-111.39315,"450 ADAMSVILLE RD",2013,"FLORENCE","AZ",0,0,-.0078381
"030080",-.0028171,"EL DORADO HOSPITAL - CLOSED",32.239763,-110.85779,"1400 N WILMOT RD",2013,"TUCSON","AZ",0,0,-.0028171
"030106",-.0073344,"PHOENIX MEMORIAL HOSPITAL",33.435923,-112.08252,"1201 S 7TH AVE",2013,"PHOENIX","AZ",0,0,-.0073344
"040021",-.0023029,"SOUTHWEST REGIONAL MEDICAL CENTER",34.659854,-92.402133,"11401 INTERSTATE 30",2013,"LITTLE ROCK","AR",0,0,-.0023029
"040054",-.002798,"NEWPORT HOSPITAL AND CLINIC",35.60825,-91.257297,"2000 MCLAIN STREEET",2013,"NEWPORT","AR",0,0,-.002798
"040063",.0058066,"ST MICHAEL HOSPITAL OF TEXARKANA",33.427005,-94.040923,"6TH & HAZEL ST",2013,"TEXARKANA","AR",0,.0058066,0
"040081",-.0303322,"PIKE COUNTY HOSPITAL",34.070197,-93.680111,"315 E 13TH ST",2013,"MURFREESBORO","AR",0,0,-.0303322
"040095",.0030426,"NEVADA COUNTY HOSPITAL",33.816717,-93.376059,"1467 W 1ST NORTH",2013,"PRESCOTT","AR",0,.0030426,0
"040126",-.0015222,"EASTERN OZARKS REG HEALTH SYSTEM",36.261443,-91.559167,"122 HOSPITAL DR",2013,"CHEROKEE VILLAGE","AR",0,0,-.0015222
"040142",-.0005352,"HEALTHPARK HOSPITAL",34.464401,-93.073466,"1636 HIGDON FERRY RD",2013,"HOT SPRINGS","AR",0,0,-.0005352
